position,parent,auc,normalized_auc
{filler},cleft,0.15333333333333332,1.0
{filler},embedded_wh_finite,0.13999999999999999,0.9130434782608695
{filler},embedded_wh_nonfinite,0.1,0.6521739130434784
{filler},pseudo_cleft,0.03666666666666667,0.2391304347826087
{filler},restricted_rc,0.02333333333333333,0.15217391304347827
{filler},topicalization,0.03666666666666667,0.2391304347826087
{filler},wh_question,0.05666666666666666,0.3695652173913043
the,cleft,0.13,0.6190476190476191
the,embedded_wh_finite,0.21,1.0
the,embedded_wh_nonfinite,0.15333333333333332,0.7301587301587301
the,pseudo_cleft,0.08333333333333333,0.3968253968253968
the,restricted_rc,0.056666666666666664,0.2698412698412698
the,topicalization,0.18666666666666665,0.8888888888888888
the,wh_question,0.2,0.9523809523809524
{np},cleft,0.37333333333333335,0.7320261437908497
{np},embedded_wh_finite,0.51,1.0
{np},embedded_wh_nonfinite,0.34,0.6666666666666667
{np},pseudo_cleft,0.08666666666666667,0.16993464052287582
{np},restricted_rc,0.09333333333333332,0.1830065359477124
{np},topicalization,0.35333333333333333,0.6928104575163399
{np},wh_question,0.13,0.2549019607843137
{verb},cleft,0.5433333333333333,0.8316326530612245
{verb},embedded_wh_finite,0.6533333333333333,1.0
{verb},embedded_wh_nonfinite,0.5866666666666667,0.8979591836734694
{verb},pseudo_cleft,0.45666666666666667,0.6989795918367347
{verb},restricted_rc,0.18,0.2755102040816326
{verb},topicalization,0.4166666666666667,0.6377551020408163
{verb},wh_question,0.44000000000000006,0.6734693877551021
