position,parent,auc,normalized_auc
{filler},cleft,0.05333333333333333,0.31999999999999995
{filler},embedded_wh_finite,0.06666666666666667,0.39999999999999997
{filler},embedded_wh_nonfinite,0.06666666666666665,0.39999999999999986
{filler},pseudo_cleft,0.16666666666666669,1.0
{filler},restricted_rc,0.019999999999999997,0.11999999999999997
{filler},topicalization,0.043333333333333335,0.25999999999999995
{filler},wh_question,0.13,0.7799999999999999
the,cleft,0.15333333333333332,0.3898305084745763
the,embedded_wh_finite,0.07333333333333333,0.1864406779661017
the,embedded_wh_nonfinite,0.09666666666666666,0.2457627118644068
the,pseudo_cleft,0.3933333333333333,1.0
the,restricted_rc,0.03666666666666666,0.09322033898305083
the,topicalization,0.11333333333333334,0.288135593220339
the,wh_question,0.15333333333333332,0.3898305084745763
{np},cleft,0.37,0.74
{np},embedded_wh_finite,0.12666666666666665,0.2533333333333333
{np},embedded_wh_nonfinite,0.12333333333333332,0.24666666666666665
{np},pseudo_cleft,0.5,1.0
{np},restricted_rc,0.17,0.34
{np},topicalization,0.31000000000000005,0.6200000000000001
{np},wh_question,0.2866666666666667,0.5733333333333334
{verb},cleft,0.7,1.0
{verb},embedded_wh_finite,0.3766666666666667,0.5380952380952382
{verb},embedded_wh_nonfinite,0.30666666666666664,0.4380952380952381
{verb},pseudo_cleft,0.45,0.6428571428571429
{verb},restricted_rc,0.19333333333333336,0.27619047619047626
{verb},topicalization,0.6666666666666666,0.9523809523809524
{verb},wh_question,0.5833333333333333,0.8333333333333333
