position,parent,auc,normalized_auc
{filler},cleft,0.08666666666666666,0.5777777777777777
{filler},embedded_wh_finite,0.15,1.0
{filler},embedded_wh_nonfinite,0.12666666666666665,0.8444444444444443
{filler},pseudo_cleft,0.04,0.26666666666666666
{filler},restricted_rc,0.03333333333333333,0.22222222222222224
{filler},topicalization,0.05333333333333333,0.35555555555555557
{filler},wh_question,0.07666666666666666,0.5111111111111111
the,cleft,0.12333333333333334,0.6166666666666667
the,embedded_wh_finite,0.2,1.0
the,embedded_wh_nonfinite,0.14333333333333334,0.7166666666666667
the,pseudo_cleft,0.07666666666666666,0.3833333333333333
the,restricted_rc,0.06666666666666667,0.3333333333333333
the,topicalization,0.13,0.65
the,wh_question,0.1766666666666667,0.8833333333333334
{np},cleft,0.4866666666666667,0.954248366013072
{np},embedded_wh_finite,0.51,1.0
{np},embedded_wh_nonfinite,0.43666666666666665,0.8562091503267973
{np},pseudo_cleft,0.09333333333333334,0.18300653594771243
{np},restricted_rc,0.11333333333333331,0.22222222222222218
{np},topicalization,0.36,0.7058823529411764
{np},wh_question,0.13666666666666666,0.2679738562091503
{verb},cleft,0.5233333333333333,0.9289940828402367
{verb},embedded_wh_finite,0.5633333333333334,1.0
{verb},embedded_wh_nonfinite,0.52,0.9230769230769231
{verb},pseudo_cleft,0.4633333333333334,0.8224852071005918
{verb},restricted_rc,0.2033333333333333,0.36094674556213013
{verb},topicalization,0.4033333333333333,0.7159763313609467
{verb},wh_question,0.49666666666666665,0.8816568047337278
