position,parent,auc,normalized_auc
{filler},cleft,0.03,0.21951219512195122
{filler},embedded_wh_finite,0.08,0.5853658536585367
{filler},embedded_wh_nonfinite,0.09,0.6585365853658537
{filler},pseudo_cleft,0.13666666666666666,1.0
{filler},restricted_rc,0.03,0.21951219512195122
{filler},topicalization,0.04666666666666666,0.3414634146341463
{filler},wh_question,0.13,0.951219512195122
the_1,cleft,0.07999999999999999,0.24489795918367344
the_1,embedded_wh_finite,0.09,0.2755102040816326
the_1,embedded_wh_nonfinite,0.11333333333333333,0.3469387755102041
the_1,pseudo_cleft,0.32666666666666666,1.0
the_1,restricted_rc,0.02666666666666667,0.0816326530612245
the_1,topicalization,0.13333333333333336,0.4081632653061225
the_1,wh_question,0.10333333333333333,0.3163265306122449
{np1},cleft,0.20333333333333334,0.5083333333333333
{np1},embedded_wh_finite,0.13666666666666666,0.3416666666666666
{np1},embedded_wh_nonfinite,0.13666666666666666,0.3416666666666666
{np1},pseudo_cleft,0.4,1.0
{np1},restricted_rc,0.18333333333333332,0.45833333333333326
{np1},topicalization,0.21333333333333332,0.5333333333333332
{np1},wh_question,0.27999999999999997,0.6999999999999998
{verb1},cleft,0.21333333333333332,0.5333333333333333
{verb1},embedded_wh_finite,0.23333333333333334,0.5833333333333334
{verb1},embedded_wh_nonfinite,0.20333333333333337,0.5083333333333334
{verb1},pseudo_cleft,0.39999999999999997,1.0
{verb1},restricted_rc,0.21,0.525
{verb1},topicalization,0.2766666666666666,0.6916666666666667
{verb1},wh_question,0.38666666666666666,0.9666666666666667
that,cleft,0.32333333333333336,0.6598639455782314
that,embedded_wh_finite,0.22666666666666666,0.4625850340136054
that,embedded_wh_nonfinite,0.27666666666666667,0.5646258503401361
that,pseudo_cleft,0.35333333333333333,0.7210884353741497
that,restricted_rc,0.18666666666666665,0.38095238095238093
that,topicalization,0.49,1.0
that,wh_question,0.37,0.7551020408163265
the_2,cleft,0.5966666666666667,0.9521276595744682
the_2,embedded_wh_finite,0.12000000000000001,0.1914893617021277
the_2,embedded_wh_nonfinite,0.14,0.22340425531914898
the_2,pseudo_cleft,0.5033333333333334,0.8031914893617024
the_2,restricted_rc,0.24000000000000002,0.3829787234042554
the_2,topicalization,0.6266666666666666,1.0
the_2,wh_question,0.3566666666666667,0.5691489361702129
{np2},cleft,0.4033333333333333,0.5789473684210527
{np2},embedded_wh_finite,0.20999999999999996,0.30143540669856456
{np2},embedded_wh_nonfinite,0.24666666666666665,0.354066985645933
{np2},pseudo_cleft,0.6966666666666667,1.0
{np2},restricted_rc,0.29333333333333333,0.4210526315789474
{np2},topicalization,0.44,0.631578947368421
{np2},wh_question,0.5366666666666666,0.770334928229665
{verb2},cleft,0.62,0.9441624365482233
{verb2},embedded_wh_finite,0.29666666666666663,0.4517766497461928
{verb2},embedded_wh_nonfinite,0.2866666666666666,0.43654822335025373
{verb2},pseudo_cleft,0.47333333333333333,0.7208121827411167
{verb2},restricted_rc,0.22999999999999998,0.3502538071065989
{verb2},topicalization,0.6566666666666667,1.0
{verb2},wh_question,0.5166666666666667,0.7868020304568528
